SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,8301 Bradbury Rd,Henrico,VA,23231,349500,4,2.0,,1920,,1950,5,182,,Active,,,https://www.redfin.com/VA/Henrico/8301-Bradbury-Rd-23231/home/59697065,CVRMLS,2402608,N,Y,37.4364973,-77.2764189
MLS Listing,,Single Family Residential,3211 Maury St,Richmond,VA,23224,150000,2,1.0,Broad Rock Park,768,5797,1953,1,195,,Active,,,https://www.redfin.com/VA/Richmond/3211-Maury-St-23224/home/55434399,CVRMLS,2402318,N,Y,37.5032924,-77.4628529
MLS Listing,,Single Family Residential,1417 Almond Tree Dr,Henrico,VA,23231,235000,3,1.5,Almond Creek Estates,1048,7082,1996,1,224,,Active,February-9-2024 03:00 PM,February-9-2024 05:00 PM,https://www.redfin.com/VA/Henrico/1417-Almond-Tree-Dr-23231/home/59691924,CVRMLS,2402938,N,Y,37.5004732,-77.3909314
MLS Listing,,Condo/Co-op,4330 Saunders Station Loop Unit B,Henrico,VA,23233,441000,3,2.5,Saunders Station At Broad Hill Centre,2509,,2018,1,176,83,Active,,,https://www.redfin.com/VA/Henrico/4330-Saunders-Station-Loop-23233/unit-B/home/160833404,CVRMLS,2402313,N,Y,37.6648763,-77.643381
MLS Listing,,Multi-Family (2-4 Unit),2702 W Main St,Richmond,VA,23220,699950,3,1.5,Skyview Terrace,2454,2474,1917,1,285,,Active,,,https://www.redfin.com/VA/Richmond/2702-W-Main-St-23220/home/55443100,CVRMLS,2401699,N,Y,37.5525424,-77.4745356
MLS Listing,,Single Family Residential,3524 Missouri Ave,Richmond,VA,23222,219900,3,1.5,North Highland Park,1285,6969,1939,1,171,,Active,,,https://www.redfin.com/VA/Richmond/3524-Missouri-Ave-23222/home/55423714,CVRMLS,2402970,N,Y,37.5811472,-77.420156
MLS Listing,,Single Family Residential,2553 Covey Run Dr,Henrico,VA,23233,749950,4,3.5,Covey Run,3193,13503,2007,1,235,38,Active,,,https://www.redfin.com/VA/Henrico/2553-Covey-Run-Dr-23233/home/59606682,CVRMLS,2402941,N,Y,37.6308229,-77.6174992
MLS Listing,,Single Family Residential,1239 Warren Ave,Richmond,VA,23227,649900,4,3.0,Bellevue,2175,8158,1937,1,299,,Active,February-8-2024 05:00 PM,February-8-2024 08:00 PM,https://www.redfin.com/VA/Richmond/1239-Warren-Ave-23227/home/55425691,CVRMLS,2402646,N,Y,37.5944987,-77.4567376
MLS Listing,,Single Family Residential,1412 Bainbridge St,Richmond,VA,23224,309000,3,2.0,Manchester,1541,3876,1918,1,201,,Active,,,https://www.redfin.com/VA/Richmond/1412-Bainbridge-St-23224/home/55428165,CVRMLS,2401744,N,Y,37.5203857,-77.4468524
MLS Listing,,Single Family Residential,4710 W Grace St,Richmond,VA,23230,1315000,5,4.0,Monument Avenue Park,3054,7248,2024,1,431,,Active,,,https://www.redfin.com/VA/Richmond/4710-W-Grace-St-23230/home/55448197,CVRMLS,2402898,N,Y,37.5760767,-77.4946413
MLS Listing,,Multi-Family (2-4 Unit),1300 Porter St,Richmond,VA,23224,549000,8,4.0,Manchester,,5580,1916,1,,,Active,,,https://www.redfin.com/VA/Richmond/1300-Porter-St-23224/home/55428113,CVRMLS,2402984,N,Y,37.5219282,-77.4465228
MLS Listing,,Single Family Residential,7029 Woodside St,Henrico,VA,23231,350000,3,2.0,Sunset Heights,972,32073,1984,1,360,,Active,,,https://www.redfin.com/VA/Henrico/7029-Woodside-St-23231/home/59693979,CVRMLS,2402853,N,Y,37.4729115,-77.3931564
MLS Listing,,Single Family Residential,1409 Brookland Pkwy,Richmond,VA,23227,599000,3,2.5,Sherwood Park,2594,10201,1954,1,231,,Active,,,https://www.redfin.com/VA/Richmond/1409-Brookland-Pkwy-23227/home/55422906,CVRMLS,2402825,N,Y,37.5749999,-77.4563708
MLS Listing,,Single Family Residential,2515 Ford Ave,Richmond,VA,23223,199900,2,1.0,Helens Subdivision,768,7365,1988,1,260,,Active,,,https://www.redfin.com/VA/Richmond/2515-Ford-Ave-23223/home/55410903,CVRMLS,2402546,N,Y,37.5495955,-77.4156665
MLS Listing,,Single Family Residential,1355 Robindale Rd,Chesterfield,VA,23235,345000,3,2.0,Bon Air Terrace,1408,15899,1984,1,245,,Active,February-8-2024 05:00 PM,February-8-2024 07:00 PM,https://www.redfin.com/VA/North-Chesterfield/1355-Robindale-Rd-23235/home/59527241,CVRMLS,2402905,N,Y,37.5129657,-77.5860137
MLS Listing,,Multi-Family (2-4 Unit),2119 Fairfax Ave,Richmond,VA,23224,450000,,,Mason Park,2304,4146,2024,1,195,,Active,,,https://www.redfin.com/VA/Richmond/2119-Fairfax-Ave-23224/home/189646756,CVRMLS,2402500,N,Y,37.5087357,-77.4443191
MLS Listing,,Single Family Residential,5520 Belle Pond Dr,North Chesterfield,VA,23234,290000,3,2.5,Belle Spring Townes,1484,2657,2009,1,195,100,Active,,,https://www.redfin.com/VA/North-Chesterfield/5520-Belle-Pond-Dr-23234/home/59484752,CVRMLS,2401776,N,Y,37.4606813,-77.5030644
MLS Listing,,Single Family Residential,5812 Christopher Ln,Richmond,VA,23226,1200000,4,2.0,Westview,2564,11735,1965,1,468,,Active,February-8-2024 04:00 PM,February-8-2024 05:30 PM,https://www.redfin.com/VA/Richmond/5812-Christopher-Ln-23226/home/55451028,CVRMLS,2401768,N,Y,37.5788375,-77.5165939
MLS Listing,,Townhouse,2534 Liesfeld Pkwy,Glen Allen,VA,23060,450000,2,2.5,West Broad Village,1868,1189,2012,1,241,310,Active,,,https://www.redfin.com/VA/Glen-Allen/2534-Liesfeld-Pkwy-23060/home/59608003,CVRMLS,2402088,N,Y,37.647408,-77.6058168
MLS Listing,,Multi-Family (2-4 Unit),1327 Nottoway Ave,Richmond,VA,23227,425000,4,2.0,Brookdale,1734,5270,1940,1,245,,Active,February-11-2024 11:00 AM,February-11-2024 01:00 PM,https://www.redfin.com/VA/Richmond/1327-Nottoway-Ave-23227/home/55425477,CVRMLS,2402665,N,Y,37.5888418,-77.4555171
